Time        Speed       Wheel       Brake       Acceleration 
57.06        28.53        0.00        0.00        0.00        
57.08        28.61        0.00        0.00        0.00        
57.10        28.70        0.00        0.00        0.00        
57.12        28.78        0.00        0.00        0.00        
57.14        28.86        0.00        0.00        0.00        
57.16        28.94        0.00        0.00        0.00        
57.18        29.03        0.00        0.00        0.00        
57.20        29.11        0.00        0.00        0.00        
57.22        29.19        0.00        0.00        0.00        
57.24        29.27        0.00        0.00        0.00        
57.26        29.35        0.00        0.00        0.00        
57.28        29.43        0.00        0.00        0.00        
57.30        29.51        0.00        0.00        0.00        
57.32        29.59        0.00        0.00        0.00        
57.34        29.68        0.00        0.00        0.00        
57.36        29.76        0.00        0.00        0.00        
57.38        29.84        0.00        0.00        0.00        
57.40        29.92        0.00        0.00        0.00        
57.42        30.00        0.00        0.00        0.00        
57.44        30.08        0.00        0.00        0.00        
57.46        30.16        0.00        0.00        0.00        
57.48        30.24        0.00        0.00        0.00        
57.50        30.32        0.00        0.00        0.00        
57.52        30.40        0.00        0.00        0.00        
57.54        30.48        0.00        0.00        0.00        
57.56        30.55        0.00        0.00        0.00        
57.58        30.63        0.00        0.00        0.00        
57.60        30.71        0.00        0.00        0.00        
57.62        30.79        0.00        0.00        0.00        
57.64        30.87        0.00        0.00        0.00        
57.66        30.95        0.00        0.00        0.00        
57.68        31.03        0.00        0.00        0.00        
57.70        31.10        0.00        0.00        0.00        
57.72        31.18        0.00        0.00        0.00        
57.74        31.26        0.00        0.00        0.00        
57.76        31.34        0.00        0.00        0.00        
57.78        31.42        0.00        0.00        0.00        
57.80        31.49        0.00        0.00        0.00        
57.82        31.57        0.00        0.00        0.00        
57.84        31.65        0.00        0.00        0.00        
57.86        31.72        0.00        0.00        0.00        
57.88        31.80        0.00        0.00        0.00        
57.90        31.88        0.00        0.00        0.00        
57.92        31.95        0.00        0.00        0.00        
57.94        32.03        0.00        0.00        0.00        
57.96        32.11        0.00        0.00        0.00        
57.98        32.18        0.00        0.00        0.00        
58.00        32.26        0.00        0.00        0.00        
58.02        32.34        0.00        0.00        0.00        
58.04        32.41        0.00        0.00        0.00        
58.06        32.49        0.00        0.00        0.00        
58.08        32.56        0.00        0.00        0.00        
58.10        32.64        0.00        0.00        0.00        
58.12        32.71        0.00        0.00        0.00        
58.14        32.79        0.00        0.00        0.00        
58.16        32.86        0.00        0.00        0.00        
58.18        32.94        0.00        0.00        0.00        
58.20        33.01        0.00        0.00        0.00        
58.22        33.09        0.00        0.00        0.00        
58.24        33.16        0.00        0.00        0.00        
58.26        33.24        0.00        0.00        0.00        
58.28        33.31        0.00        0.00        0.00        
58.30        33.38        0.00        0.00        0.00        
58.32        33.46        0.00        0.00        0.00        
58.34        33.53        0.00        0.00        0.00        
58.36        33.61        0.00        0.00        0.00        
58.38        33.68        0.00        0.00        0.00        
58.40        33.75        0.00        0.00        0.00        
58.42        33.83        0.00        0.00        0.00        
58.44        33.90        0.00        0.00        0.00        
58.46        33.97        0.00        0.00        0.00        
58.48        34.04        0.00        0.00        0.00        
58.50        34.12        0.00        0.00        0.00        
58.52        34.19        0.00        0.00        0.00        
58.54        34.26        0.00        0.00        0.00        
58.56        34.33        0.00        0.00        0.00        
58.58        34.41        0.00        0.00        0.00        
58.60        34.48        0.00        0.00        0.00        
58.62        34.55        0.00        0.00        0.00        
58.64        34.62        0.00        0.00        0.00        
58.66        34.69        0.00        0.00        0.00        
58.68        34.76        0.00        0.00        0.00        
58.70        34.83        0.00        0.00        0.00        
58.72        34.91        0.00        0.00        0.00        
58.74        34.98        0.00        0.00        0.00        
58.76        35.05        0.00        0.00        0.00        
58.78        35.12        0.00        0.00        0.00        
58.80        35.19        0.00        0.00        0.00        
58.82        35.26        0.00        0.00        0.00        
58.84        35.33        0.00        0.00        0.00        
58.86        35.40        0.00        0.00        0.00        
58.88        35.47        0.00        0.00        0.00        
58.90        35.54        0.00        0.00        0.00        
58.92        35.61        0.00        0.00        0.00        
58.94        35.68        0.00        0.00        0.00        
58.96        35.75        0.00        0.00        0.00        
58.98        35.82        0.00        0.00        0.00        
59.00        35.89        0.00        0.00        0.00        
59.02        35.96        0.00        0.00        0.00        
59.04        36.03        0.00        0.00        0.00        
59.06        36.10        0.00        0.00        0.00        
59.08        36.17        0.00        0.00        0.00        
59.10        36.23        0.00        0.00        0.00        
59.12        36.30        0.00        0.00        0.00        
59.14        36.37        0.00        0.00        0.00        
59.16        36.44        0.00        0.00        0.00        
59.18        36.51        0.00        0.00        0.00        
