Time        Speed       Wheel       Brake       Acceleration 
39.66        0.00        -1.75        0.00        -100.00        
39.68        0.00        -1.75        0.00        -100.00        
39.70        0.00        -1.75        0.00        -100.00        
39.72        0.00        -1.75        0.00        -100.00        
39.74        0.00        -1.75        0.00        -100.00        
39.76        0.00        -1.75        0.00        -100.00        
39.78        0.00        -1.75        0.00        -100.00        
39.80        0.00        -1.75        0.00        -100.00        
39.82        0.00        -1.75        0.00        -100.00        
39.84        0.00        -1.75        0.00        -100.00        
39.86        0.00        -1.75        0.00        -100.00        
39.88        0.00        -1.75        0.00        -100.00        
39.90        0.00        -1.75        0.00        -100.00        
39.92        0.00        -1.75        0.00        -100.00        
39.94        0.00        -1.75        0.00        -100.00        
39.96        0.00        -1.75        0.00        -100.00        
39.98        0.00        -1.75        0.00        -100.00        
40.00        0.00        -1.75        0.00        -100.00        
40.02        0.00        -1.75        0.00        -100.00        
40.04        0.00        -1.75        0.00        -100.00        
40.06        0.00        -1.75        0.00        -100.00        
40.08        0.00        -1.75        0.00        -100.00        
40.10        0.00        -1.75        0.00        -100.00        
40.12        0.00        -1.75        0.00        -100.00        
40.14        0.00        -1.75        0.00        -100.00        
40.16        0.00        -1.75        0.00        -100.00        
40.18        0.00        -1.75        0.00        -100.00        
40.20        0.00        -1.75        0.00        -100.00        
40.22        0.00        -1.75        0.00        -100.00        
40.24        0.00        -1.75        0.00        -100.00        
40.26        0.00        -1.75        0.00        -100.00        
40.28        0.00        -1.75        0.00        -100.00        
40.30        0.00        -1.75        0.00        -100.00        
40.32        0.00        -1.75        0.00        -100.00        
40.34        0.00        -1.75        0.00        -100.00        
40.36        0.00        -1.75        0.00        -100.00        
40.38        0.00        -1.75        0.00        -100.00        
40.40        0.00        -1.75        0.00        -100.00        
40.42        0.00        -1.75        0.00        -100.00        
40.44        0.00        -1.75        0.00        -100.00        
40.46        0.00        -1.75        0.00        -100.00        
40.48        0.00        -1.75        0.00        -100.00        
40.50        0.00        -1.75        0.00        -100.00        
40.52        0.00        -1.75        0.00        -100.00        
40.54        0.00        -1.75        0.00        -100.00        
40.56        0.00        -1.75        0.00        -100.00        
40.58        0.00        -1.75        0.00        -100.00        
40.60        0.00        -1.75        0.00        -100.00        
40.62        0.00        -1.75        0.00        -100.00        
40.64        0.00        -1.75        0.00        -100.00        
40.66        0.00        -1.75        0.00        -100.00        
40.68        0.00        -1.75        0.00        -100.00        
40.70        0.00        -1.75        0.00        -100.00        
40.72        0.00        -1.75        0.00        -100.00        
40.74        0.00        -1.75        0.00        -100.00        
40.76        0.00        -1.75        0.00        -100.00        
