Time        Speed       Wheel       Brake       Acceleration 
10.64        28.45        0.00        0.00        -100.00        
10.66        28.53        0.00        0.00        -100.00        
10.68        28.61        0.00        0.00        -100.00        
10.70        28.70        0.00        0.00        -100.00        
10.72        28.78        0.00        0.00        -100.00        
10.74        28.86        0.00        0.00        -100.00        
10.76        28.94        0.00        0.00        -100.00        
10.78        29.03        0.00        0.00        -100.00        
10.80        29.11        0.00        0.00        -100.00        
10.82        29.19        0.00        0.00        -100.00        
10.84        29.27        0.00        0.00        -100.00        
10.86        29.35        0.00        0.00        -100.00        
10.88        29.43        0.00        0.00        -100.00        
10.90        29.51        0.00        0.00        -100.00        
10.92        29.59        0.00        0.00        -100.00        
10.94        29.68        0.00        0.00        -100.00        
10.96        29.76        0.00        0.00        -100.00        
10.98        29.84        0.00        0.00        -100.00        
11.00        29.92        0.00        0.00        -100.00        
11.02        30.00        0.00        0.00        -100.00        
11.04        30.08        0.00        0.00        -100.00        
11.06        30.16        0.00        0.00        -100.00        
11.08        30.24        0.00        0.00        -100.00        
11.10        30.32        0.00        0.00        -100.00        
11.12        30.40        0.00        0.00        -100.00        
11.14        30.47        0.00        0.00        -100.00        
11.16        30.55        0.00        0.00        -100.00        
11.18        30.63        0.00        0.00        -100.00        
11.20        30.71        0.00        0.00        -100.00        
11.22        30.79        0.00        0.00        -100.00        
11.24        30.87        0.00        0.00        -100.00        
11.26        30.95        0.00        0.00        -100.00        
11.28        31.03        0.00        0.00        -100.00        
11.30        31.10        0.00        0.00        -100.00        
11.32        31.18        0.00        0.00        -100.00        
11.34        31.26        0.00        0.00        -100.00        
11.36        31.34        0.00        0.00        -100.00        
11.38        31.42        0.00        0.00        -100.00        
11.40        31.49        0.00        0.00        -100.00        
11.42        31.57        0.00        0.00        -100.00        
11.44        31.65        0.00        0.00        -100.00        
11.46        31.72        0.00        0.00        -100.00        
11.48        31.80        0.00        0.00        -100.00        
11.50        31.88        0.00        0.00        -100.00        
11.52        31.95        0.00        0.00        -100.00        
11.54        32.03        0.00        0.00        -100.00        
11.56        32.11        0.00        0.00        -100.00        
11.58        32.18        0.00        0.00        -100.00        
11.60        32.26        0.00        0.00        -100.00        
11.62        32.34        0.00        0.00        -100.00        
11.64        32.41        0.00        0.00        -100.00        
11.66        32.49        0.00        0.00        -100.00        
