Time        Speed       Wheel       Brake       Acceleration X           Z 
12.56        21.26        0.00        0.00        0.00        274.79        244.98        
12.58        21.49        0.00        0.00        0.00        274.60        245.00        
12.60        21.29        0.00        0.00        0.00        274.41        245.03        
12.62        21.53        0.00        0.00        0.00        274.22        245.06        
12.64        21.34        0.00        0.00        0.00        274.03        245.08        
12.66        21.56        0.00        0.00        0.00        273.84        245.11        
12.68        21.38        0.00        0.00        0.00        273.65        245.14        
12.70        21.59        0.00        0.00        0.00        273.46        245.17        
12.72        21.43        0.00        0.00        0.00        273.27        245.19        
12.74        21.62        0.00        0.00        0.00        273.08        245.22        
12.76        21.48        0.00        0.00        0.00        272.89        245.25        
12.78        21.66        0.00        0.00        0.00        272.69        245.27        
12.80        21.52        0.00        0.00        0.00        272.50        245.30        
12.82        21.69        0.00        0.00        0.00        272.31        245.33        
12.84        21.56        0.00        0.00        0.00        272.12        245.35        
12.86        21.73        0.00        0.00        0.00        271.93        245.38        
12.88        21.59        0.00        0.00        0.00        271.74        245.41        
12.90        21.77        0.00        0.00        0.00        271.54        245.43        
12.92        21.63        0.00        0.00        0.00        271.35        245.46        
12.94        21.80        0.00        0.00        0.00        271.16        245.49        
12.96        21.66        0.00        0.00        0.00        270.97        245.51        
12.98        21.81        0.00        0.00        0.00        270.77        245.54        
13.00        21.68        0.00        0.00        0.00        270.58        245.57        
13.02        21.82        0.00        0.00        0.00        270.39        245.60        
13.04        21.68        0.00        0.00        0.00        270.20        245.62        
13.06        21.80        0.00        0.00        0.00        270.00        245.65        
13.08        21.65        0.00        0.00        0.00        269.81        245.68        
13.10        21.77        0.00        0.00        0.00        269.62        245.70        
13.12        21.61        0.00        0.00        0.00        269.43        245.73        
13.14        21.72        0.00        0.00        0.00        269.24        245.76        
13.16        21.54        0.00        0.00        0.00        269.05        245.78        
13.18        21.65        0.00        0.00        0.00        268.85        245.81        
13.20        21.46        0.00        0.00        0.00        268.66        245.83        
13.22        21.56        0.00        0.00        0.00        268.47        245.86        
13.24        21.30        0.00        0.00        0.00        268.28        245.89        
13.26        21.42        0.00        0.00        0.00        268.09        245.91        
13.28        21.08        0.00        0.00        0.00        267.91        245.94        
13.30        21.21        0.00        0.00        0.00        267.72        245.96        
